,fname,age,grade
0,Baker,14,90
1,Josephine,19,100
2,Calvin,15,66
3,Aretha,17,84
4,Britanney,19,66
5,Cruz,15,98
6,Caesar,15,69
7,Ariana,15,99
8,Kieran,14,93
9,Tanner,17,100
10,Jermaine,15,81
11,Zelda,15,65
12,Lee,19,86
13,Alfreda,19,92
14,Quincy,14,80
15,Vivien,14,77
16,Katelyn,19,86
17,Christopher,17,76
18,Brianna,17,69
19,Emma,14,73
20,Virginia,16,78
21,Zia,14,89
22,Ursula,18,74
23,Hayfa,18,100
24,Kato,16,69
25,Tanek,14,78
26,Aiko,19,99
27,Hunter,17,69
28,Josiah,16,86
29,Dante,19,69
30,Armando,16,84
31,Raymond,15,67
32,Martin,19,92
33,Ava,14,89
34,Joshua,19,71
35,James,15,89
36,Karina,15,90
37,Derek,15,72
38,Kiayada,16,91
39,Lance,14,81
40,Jocelyn,17,85
41,Uma,14,97
42,Melinda,19,89
43,Alika,16,74
44,Buffy,18,99
45,Jane,19,99
46,Dalton,19,97
47,Walker,16,68
48,Jena,14,90
49,Nell,14,99
50,Shoshana,16,84
51,Adrienne,14,69
52,Jennifer,16,79
53,Odessa,17,74
54,Philip,17,70
55,Carl,18,69
56,Dennis,17,91
57,Faith,18,98
58,Rosalyn,19,76
59,Emma,16,92
60,Noelle,15,88
61,Xenos,17,96
62,Aristotle,16,71
63,Karyn,14,79
64,Hakeem,16,81
65,Phelan,16,75
66,Plato,18,94
67,Tamara,14,78
68,Paula,19,71
69,Florence,18,80
70,Yen,15,95
71,Farrah,16,70
72,Donna,14,73
73,Elton,17,83
74,Kyra,14,67
75,Emery,17,80
76,Darryl,19,72
77,Dexter,14,69
78,Dai,16,90
79,Odette,19,74
80,Giselle,17,67
81,Hilary,17,81
82,Rylee,17,90
83,Quinlan,15,82
84,Herman,15,98
85,Steel,15,97
86,Shay,14,98
87,Gavin,19,84
88,Scott,17,99
89,Melissa,17,98
90,Chelsea,16,72
91,Ryan,18,97
92,Damon,17,91
93,Sonya,17,77
94,Lacey,14,97
95,Shaeleigh,18,82
96,Vielka,14,80
97,Shelley,14,75
98,Merritt,15,73
99,Desirae,16,69
100,Sebastian,17,71
101,Cleo,16,87
102,Raven,14,81
103,Whoopi,19,72
104,Tanisha,19,79
105,Kaseem,19,87
106,Aidan,14,79
107,Wade,17,89
108,Carly,19,99
109,Kiayada,18,92
110,Irma,14,78
111,Solomon,16,90
112,Dale,14,99
113,Amethyst,19,89
114,Genevieve,18,70
115,Austin,19,75
116,Tana,19,71
117,Aaron,19,74
118,Mariam,19,99
119,Xandra,18,72
120,Vladimir,15,87
121,Brynn,16,86
122,Lillith,18,84
123,Kane,17,66
124,Zoe,14,82
125,Samuel,15,100
126,Jacqueline,17,89
127,Hiram,16,91
128,Amber,16,73
129,Samson,16,97
130,Stuart,18,78
131,Ebony,15,92
132,Kiara,15,98
133,Wanda,15,81
134,Darryl,18,73
135,Dakota,18,84
136,Halee,18,97
137,Ignacia,14,90
138,Imogene,16,90
139,Dominic,14,85
140,Xenos,15,91
141,Wayne,15,91
142,Kennedy,15,66
143,Cameron,16,94
144,Leonard,19,70
145,Keane,17,90
146,Melodie,16,79
147,Zephr,14,84
148,Keegan,15,80
149,Austin,17,96
150,Cairo,17,96
151,Doris,16,84
152,Carter,19,82
153,Denton,17,100
154,Tobias,15,69
155,William,14,67
156,Marah,17,96
157,Keefe,17,65
158,Kevyn,19,81
159,Hop,17,67
160,Naida,18,91
161,Shaeleigh,15,82
162,Liberty,15,96
163,Herman,17,79
164,Hyatt,19,89
165,Harrison,16,79
166,Anastasia,17,99
167,Lyle,19,87
168,Amal,18,92
169,Beck,15,98
170,Logan,18,69
171,Tamara,19,77
172,Karyn,16,94
173,MacKensie,17,71
174,Haviva,17,76
175,Heather,17,75
176,Glenna,17,79
177,Lucy,14,73
178,Hedwig,16,98
179,Kenneth,16,80
180,Amanda,15,74
181,Echo,17,82
182,Kadeem,19,94
183,Jonah,18,89
184,Darrel,18,93
185,Luke,18,83
186,Myra,17,73
187,Miriam,16,92
188,Burton,19,67
189,Kenneth,19,80
190,Tucker,16,76
191,Elvis,15,68
192,Marcia,17,88
193,Kaden,19,97
194,Phoebe,16,88
195,Flavia,16,66
196,Pamela,17,70
197,Wilma,17,87
198,Jack,18,78
199,Charissa,18,95
200,Aretha,18,86
201,Amber,18,65
202,Serena,14,71
203,Jada,14,99
204,Althea,19,100
205,Nina,16,66
206,Cynthia,18,80
207,Heidi,16,65
208,Jermaine,19,96
209,Quyn,14,69
210,Hayden,16,72
211,Anthony,18,68
212,Leandra,16,66
213,Giselle,14,72
214,Brian,14,76
215,Rhoda,18,92
216,Yoshio,17,76
217,Graiden,15,73
218,Shannon,17,73
219,Maia,17,73
220,Lester,14,78
221,Alfreda,19,81
222,Tyler,19,83
223,Sloane,17,96
224,Jemima,17,67
225,Emery,16,65
226,Stacy,15,94
227,Zena,19,87
228,Donna,14,87
229,Vernon,15,72
230,Victoria,19,95
231,Ulric,14,81
232,Oliver,18,86
233,Grace,17,87
234,Shay,15,88
235,Lillian,14,81
236,Roth,16,100
237,Maya,15,85
238,Rosalyn,14,81
239,Geraldine,19,70
240,Rama,16,88
241,Kiara,19,80
242,Paki,15,76
243,Doris,14,74
244,Tamara,17,84
245,Unity,19,93
246,Mark,19,100
247,Casey,16,99
248,Lael,16,67
249,Kane,15,79
250,Brady,16,82
251,Kiayada,16,66
252,Sara,16,70
253,Xaviera,18,97
254,Fredericka,14,95
255,Howard,17,99
256,Ori,17,66
257,Hedda,19,80
258,Keelie,16,92
259,Evan,18,91
260,Ursa,15,84
261,Kelsey,15,87
262,Rooney,17,81
263,Quon,15,92
264,Mariam,16,77
265,Jana,17,74
266,Noble,17,91
267,Grady,15,92
268,Sharon,17,95
269,Hedwig,15,99
270,Gloria,15,96
271,Alexa,14,93
272,Kathleen,17,78
273,Neville,19,69
274,Ahmed,15,75
275,Anjolie,19,88
276,Garrison,18,91
277,Lacy,14,69
278,Hayes,14,89
279,Kasper,19,82
280,Vielka,19,97
281,Gray,16,84
282,Maggy,14,76
283,Yoshio,14,85
284,Jakeem,15,75
285,Olga,16,67
286,Eden,15,74
287,Sara,17,92
288,Randall,19,96
289,Felix,15,95
290,Stacey,19,65
291,Leonard,17,82
292,Chaim,15,87
293,Hammett,18,82
294,Chester,15,71
295,Clare,17,69
296,Sade,14,85
297,Michael,16,91
298,Ocean,15,98
299,Wanda,17,97
